Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Belgium,BEL,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,0.471097192,0.5212420132,0.5669338083,0.5873441676,0.5427623992,0.554146708,0.5838721193,0.5935052193,0.640499261,0.6664445185,0.6824332274,0.7004377736,0.720865038,0.8361921098,0.9276437848,1.1266900351,1.0998468783,1.0410402186,1.2742142406,1.2742142406,1.2742142406
Belgium,BEL,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,89.6013588832,89.0875462392,88.5129118433,88.2878439386,88.1130421858,87.8807801885,87.7712109793,87.6586299519,87.9126293316,87.5708097301,86.7454994705,85.8161350844,84.7617140569,83.4476843911,82.3515769944,80.3705558338,80.9822288371,79.0058351957,81.3918927501,81.3918927501,81.3918927501
Belgium,BEL,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,9.9275439248,10.3961159063,10.9201543485,11.1248118938,11.344195415,11.5650731035,11.65522986,11.7478648288,11.4468714075,11.7627457514,12.572067302,13.483427142,14.5174209051,15.7161234991,16.7207792208,18.5027541312,17.9179242846,16.8257383889,17.3338930093,17.3338930093,17.3338930093
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604
Estonia,EST,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,2.4477803412,2.6502504041,2.1231422505,3.2992052554,4.5915728134,0.8477784413,0.6359541575,0.4143947655,0.2594774913,0.3061633202,0.2258554414,0.230380422,0.2719779277,0.2756367413,0.2928889844,0.3059335164,0.2529173781,0.250223245,0.2945885221,0.4829861663,0.5694056983
Estonia,EST,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,91.8227997393,91.8413697717,99.5644836409,91.6292294675,90.5947823911,94.3425239812,94.7327096906,82.3504739535,95.4571106837,95.0432472531,96.4628154954,96.5822453131,95.9534028204,96.3077318203,96.2356498109,96.0045063515,96.2642136809,96.4217961106,95.8447642322,91.761408809,92.0512796554
Estonia,EST,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,5.7294199195,5.5083798242,5.7377919321,5.0715652771,4.8136447955,4.8096975775,4.6313361519,3.8583696838,4.2834118249,4.6505894267,3.3113290632,3.1873742649,3.7400367872,3.4166314384,3.4714612047,3.689560132,3.482868941,3.3279806444,3.8606472458,7.7556050246,7.3793146463
Estonia,EST,"Population, total",SP.POP.TOTL,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522
Finland,FIN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,2.1307541485,2.1486143182,2.1667764299,2.1839596323,2.2014175495,2.2191568224,1.2468482447,4.9901732628,6.3582929969,7.7139912102,9.0574363056,10.3887936556,11.6612675058,12.9123632536,14.2776858134,15.547024952,17.3913043478,17.3913043478,14.2857142857,28.5714285714,28.5714285714
Finland,FIN,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,80.6527523312,80.4905819903,80.3256700165,80.1106796285,79.8922521033,79.6703043504,27.0580951566,77.1141871462,75.9098584507,74.7164641738,73.5338560738,72.3618885765,70.9148552959,69.4921327904,68.7434445707,67.5623800384,65.2173913043,65.2173913043,71.4285714286,57.1428571429,57.1428571429
